Speed (km/h),Temperature (Â°C),Road Surface,Grip Level,Wear Level
80,49.0109849037702,Wet,0.8843156321692242,0.47515180286823305
90,45.372753218398856,Dry,0.9409215541071859,0.22187274162708723
70,49.934434683002586,Gravel,0.764225091401154,0.5834324131374675
90,48.861223846483284,Gravel,0.8208294900506469,0.54322859311908
90,45.99357840767086,Gravel,0.8266877407512514,0.29813965515593144
60,45.027610585618014,Wet,0.9640994751148138,0.2051435737994757
70,49.07730714227417,Gravel,0.6876038768018384,0.5615770352693283
70,48.53428671923808,Gravel,0.7567091057861545,0.4209976995593394
70,48.64503584020494,Gravel,0.7222733093451037,0.4347139513241176
90,48.856351733429726,Gravel,0.735542457067047,0.4823161654880368
80,45.37022325867045,Dry,0.8055839622828946,0.3921598144903832
70,46.792328642721365,Dry,0.7768060601282147,0.5190140542226545
100,45.57934529762565,Gravel,0.7684074400428416,0.4948623850900632
90,49.315517129377966,Wet,0.9082639422178934,0.5464700226540604
60,48.11649063413779,Dry,0.9490050504432495,0.45325089191655915
80,46.65449012426325,Gravel,0.6811248392548631,0.47337459088998485
100,45.31779175143012,Dry,0.712675615284608,0.40950633774349693
100,46.55491160857831,Dry,0.8513430550472151,0.40310834467314616
60,46.625916610133736,Wet,0.7775940343888491,0.27106843817284776
80,48.64803089169032,Gravel,0.7362490947209216,0.5163218708546072
90,48.18778735677606,Gravel,0.7435871765256815,0.5099475898587078
50,49.436063712881634,Wet,0.7717652292715801,0.4765031752881045
80,47.36107462580975,Wet,0.9146009384774023,0.49334954564757544
60,45.59797122969151,Gravel,0.7109863994326086,0.40740485615116656
100,48.56622393611497,Gravel,0.8626732990730355,0.3333297866853231
90,48.803925243084485,Wet,0.8208459930723723,0.35826684305802986
80,47.806385987847484,Dry,0.7489530430943395,0.32050445566946195
50,48.85483589977281,Dry,0.8009342569338829,0.39027444296384894
50,47.46897798182195,Wet,0.7518620830783374,0.2610684993295091
70,47.61366414690997,Dry,0.8484541132597041,0.43774944823956724
70,47.137705091792746,Wet,0.689478254120072,0.3437203663024729
60,45.12709563372048,Dry,0.6715554588321959,0.3992587032886322
80,45.539457134966526,Dry,0.8483683244845908,0.326408128989
80,45.15714592843367,Gravel,0.7182821860536126,0.40762701926051037
100,48.1820520563189,Gravel,0.6712822750999782,0.36582841196565
100,46.57177990538163,Dry,0.7690351481641664,0.3096439565784036
100,47.54285345582351,Dry,0.665230559311819,0.39966830540449205
70,49.537832369630465,Gravel,0.9309851446851979,0.4986237550001911
80,46.24646114574438,Gravel,0.6682850315621114,0.32943020425084674
80,47.05191461517815,Gravel,0.8336594686522676,0.5220327378602752
50,48.777755692715246,Wet,0.806542236905426,0.2873110118569988
70,46.14399082745811,Dry,0.8666078405885598,0.3482636260638358
90,45.38489954914397,Gravel,0.7534458002424195,0.49797215643895354
70,46.44875726456884,Dry,0.7115124850183232,0.393366710265803
90,45.80610643627002,Wet,0.9495522664931593,0.343163411417836
50,49.64848826171286,Wet,0.9266800506208089,0.46352585035924476
60,49.040601897822086,Gravel,0.9281213854935025,0.4535894105338671
80,48.16701878255212,Wet,0.7350754081547591,0.48283470224093444
50,49.35730295093859,Dry,0.686650420328827,0.32545297784551147
80,49.01836038449557,Gravel,0.7509796544019668,0.35537214245474286
100,45.93285029443018,Dry,0.8111247281589966,0.3928202095917766
60,49.462794992449886,Dry,0.7679953725388122,0.5493908820119143
60,47.696711209578254,Wet,0.9183607011362765,0.4224942318346972
50,49.03720077582031,Wet,0.7564628747459226,0.3523230734535083
60,49.48045649961747,Wet,0.9595755491172309,0.49356256396242315
90,46.59001737485932,Wet,0.7921795484841185,0.45377297563139873
60,45.550259622638386,Wet,0.9226069225035944,0.28247603817396155
80,46.13967581270971,Gravel,0.7183140101984619,0.3361121821070827
80,47.13553894313128,Dry,0.7834061715170035,0.40300902092179464
80,49.090073829612464,Dry,0.8698536632301581,0.4307698337971726
80,49.30365291628172,Dry,0.7015059277253404,0.40295848419139546
90,45.034760652655955,Dry,0.6948236266728909,0.28998576540591237
70,47.55373651288783,Wet,0.9558610601342477,0.28107019640631564
100,47.08705501574389,Dry,0.8643785312539856,0.25778668933908855
50,46.11053905235365,Gravel,0.6873202550303626,0.5097732301120326
80,45.59932683666841,Gravel,0.7796462704334383,0.4661294799620451
60,46.68807585701814,Dry,0.8000562212742226,0.34023307427917904
80,49.7145485195626,Dry,0.8832127928997345,0.5813312359291889
60,46.61601466010378,Gravel,0.7452581582039983,0.43535126452936657
100,47.59395310871683,Gravel,0.705300102299411,0.3966353470671294
100,48.515094794475885,Wet,0.6742618899851592,0.4182095932210592
100,46.81814801189647,Gravel,0.7784943424820323,0.2613482835965073
60,49.858910413604804,Wet,0.8765499702296099,0.3246894524496404
80,49.81223647471056,Wet,0.677458078652533,0.4769770072645469
100,46.25891147912682,Wet,0.924564118287944,0.3912891452862767
90,47.486242529461926,Wet,0.7877056689193312,0.31354321909650723
60,46.50439154908385,Wet,0.7419362077472209,0.513946193846184
60,46.42420247188734,Dry,0.6981619870243875,0.46287286457910753
80,45.184434736772666,Gravel,0.7148597991321921,0.2377280753406877
60,48.047821669899484,Wet,0.9503841992019129,0.5402351651041775
60,47.51339511614431,Gravel,0.8614811781530051,0.5425423648832092
100,45.25739375624995,Gravel,0.80500887722797,0.5039272477340977
80,46.393232321183056,Wet,0.85713339855005,0.24462599282686615
100,49.54132942983327,Dry,0.7807018696033672,0.5119372556339681
100,46.19780945333486,Wet,0.8690117949685455,0.3877309201161939
80,45.724474360456114,Dry,0.6743148383074946,0.42623893237273064
50,47.44726380138781,Gravel,0.8448111631482228,0.5395408592199967
100,49.928252270553,Dry,0.6975939342927472,0.5049740484635717
90,46.210276357557504,Dry,0.6910493943416925,0.47529468942236225
90,48.36067773702939,Dry,0.7575639000149204,0.5272741663338403
60,48.80809807664359,Gravel,0.6975397197440325,0.5277061906620673
90,46.188187719961995,Gravel,0.6832470964805679,0.35159119691332225
60,48.641081743059296,Dry,0.7634239928173882,0.33959456013249506
50,46.83891566359627,Dry,0.9688531585864525,0.35577379385820096
80,48.161529152967894,Wet,0.7125990809668015,0.5307996556923908
80,48.167648553804476,Dry,0.665148330549525,0.3073344175836972
80,47.67887342037379,Wet,0.8890093269011732,0.40757531901519367
90,45.451448850272044,Dry,0.8970738931152338,0.2789973987327992
50,49.17651247794619,Wet,0.7788912963268202,0.4579218747269585
90,46.60390032485868,Gravel,0.7944021438818833,0.49101956309387473
